LTS0010818,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,CHEMBL1683650,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(CF)C[C@@H]21
LTS0013446,Nc1ccc(S(N)(=O)=O)cc1,CHEMBL7092,Nc1ccc(S(N)(=O)=O)cc1Cl
CNP0160247,NS(=O)(=O)c1cccc(S(N)(=O)=O)c1,CHEMBL17,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
CNP0230441.3,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CHEMBL54918,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1F
LTS0210698,O=C1c2ccccc2-n2c1nc1ccccc1c2=O,CHEMBL307480,O=C1c2cc(Cl)ccc2-n2c1nc1ccccc1c2=O
CNP0114009,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CHEMBL1200323,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1.Cl
CNP0196238,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,CHEMBL1691,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl
CNP0475555,CCCC(C(=O)c1ccccc1)N1CCCC1,CHEMBL202479,CCCC(C(=O)c1ccc(I)cc1)N1CCCC1
LTS0210698,O=C1c2ccccc2-n2c1nc1ccccc1c2=O,CHEMBL3087009,O=C1c2cc(F)ccc2-n2c1nc1ccc(F)cc1c2=O
CNP0404596,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,CHEMBL4471584,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1F
LTS0058806,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,CHEMBL1568,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
LTS0193682,O=C1c2cccnc2-c2nccc3c2c1nc1ccccc13,CHEMBL121878,O=C1c2cccnc2-c2nccc3c2c1nc1ccc(Cl)cc13
CNP0233548,Nc1oncc1-c1ccccc1,CHEMBL4170344,Nc1oncc1-c1cccc(Cl)c1
CNP0151101,O=C1NS(=O)(=O)c2ccccc21,CHEMBL1987003,O=C1NS(=O)(=O)c2cccc(Cl)c21
LTS0083403,O=c1cc(-c2ccccc2)oc2ccccc12,CHEMBL1337500,O=c1cc(-c2c(F)c(F)c(F)c(F)c2F)oc2c(F)c(F)c(F)c(F)c12
CNP0221518,Oc1ccccc1Cc1ccccc1O,CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
LTS0092642,Oc1ccccc1,CHEMBL57053,Oc1ccc(Cl)cc1
CNP0422641,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,CHEMBL543876,Cl.Cl.Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1
LTS0171698,O=C(/C=C/c1ccccc1)c1c(O)cc(O)cc1O,CHEMBL334384,O=C(/C=C/c1ccc(F)cc1)c1c(O)cc(O)cc1O
LTS0127312,COc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,CHEMBL1078955,COc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C(F)(F)F)OC2=O
CNP0215656.4,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL86029,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)CF)CC2
LTS0102738,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,CHEMBL2179942,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccc(F)cc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
CNP0396926.1,CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1,CHEMBL477406,CCOc1ccccc1O[C@H](c1ccc(I)cc1)[C@H]1CNCCO1
LTS0086720,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)/C=C/c4ccccc4)[C@H](OC(=O)c4ccccc4)[C@]12C)[C@H]3OC(C)=O,CHEMBL3775788,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)/C=C/c4ccccc4)[C@H](OC(=O)c4ccccc4)[C@]12C)[C@H]3OC(=O)CBr
